# Time-averaged data for fix thAvgFix
# TimeStep v_myPE v_myKE v_myTE v_myPress v_myTemp
1000 1.15146 1.73431 2.88577 -0.0029892 1.16202
2000 0.744763 1.50132 2.24608 -0.0343289 1.00591
3000 0.651642 1.50332 2.15496 -0.0408853 1.00725
4000 0.575807 1.52687 2.10268 -0.039516 1.02303
5000 0.456979 1.46973 1.92671 -0.0308592 0.984743
6000 0.390143 1.48237 1.87252 -0.0299395 0.993215
7000 0.211855 1.48129 1.69314 -0.0207115 0.992488
8000 0.114001 1.47638 1.59038 -0.0180832 0.989197
9000 0.0232601 1.49056 1.51382 -0.0125581 0.998698
10000 -0.0878006 1.51758 1.42978 -0.0111196 1.0168
11000 -0.221014 1.47345 1.25244 -0.00892039 0.987236
12000 -0.330169 1.49956 1.16939 -0.0052894 1.00473
13000 -0.350989 1.51076 1.15977 -0.00437471 1.01223
14000 -0.465013 1.4592 0.994191 -0.00560741 0.977691
15000 -0.5866 1.50775 0.921153 -0.000596759 1.01022
16000 -0.696518 1.46542 0.768901 -0.00249579 0.981855
17000 -0.925716 1.48489 0.559179 -0.00201913 0.994904
18000 -1.09248 1.4713 0.37882 -0.00615439 0.985798
19000 -1.27763 1.51808 0.240451 -0.00247311 1.01714
20000 -1.651 1.51136 -0.139638 -0.0121013 1.01264
21000 -2.03236 1.4527 -0.579661 -0.0158868 0.973334
22000 -2.20727 1.46752 -0.739752 -0.0177386 0.983261
23000 -2.33375 1.51045 -0.823303 -0.0218326 1.01203
24000 -2.7138 1.50703 -1.20678 -0.0241931 1.00973
25000 -2.91752 1.52762 -1.38991 -0.0310252 1.02353
26000 -3.06089 1.50558 -1.5553 -0.032263 1.00877
27000 -3.41824 1.45084 -1.9674 -0.0365286 0.97209
28000 -3.61782 1.48289 -2.13493 -0.0312525 0.993561
29000 -3.87483 1.49916 -2.37567 -0.0371062 1.00446
30000 -4.18394 1.50248 -2.68146 -0.0419093 1.00669
31000 -4.57357 1.51382 -3.05975 -0.0385376 1.01428
32000 -5.02814 1.47295 -3.5552 -0.0349842 0.986899
33000 -5.23249 1.51127 -3.72122 -0.0256002 1.01258
34000 -5.49716 1.5083 -3.98886 -0.0429648 1.01059
35000 -5.96115 1.50536 -4.45579 -0.0363865 1.00862
36000 -6.41449 1.50877 -4.90572 -0.046639 1.0109
37000 -6.52777 1.51425 -5.01351 -0.0495836 1.01457
38000 -6.63361 1.48845 -5.14516 -0.0266494 0.997289
39000 -6.74288 1.51185 -5.23103 -0.0422672 1.01296
40000 -6.81648 1.5052 -5.31128 -0.0487967 1.00851
41000 -6.8725 1.48574 -5.38676 -0.0515412 0.995469
42000 -6.92493 1.48029 -5.44464 -0.0437438 0.991822
43000 -7.00157 1.48827 -5.5133 -0.04906 0.997163
44000 -6.98135 1.49268 -5.48868 -0.0514001 1.00012
45000 -7.01513 1.4856 -5.52952 -0.0452762 0.995379
46000 -7.08513 1.47243 -5.61269 -0.0448875 0.986554
47000 -7.12012 1.43796 -5.68216 -0.0544736 0.963456
48000 -7.04916 1.51083 -5.53833 -0.0504339 1.01228
49000 -7.07824 1.45871 -5.61953 -0.0449629 0.977357
50000 -7.03229 1.4905 -5.54178 -0.043995 0.998663
51000 -7.11701 1.46581 -5.6512 -0.0582731 0.982116
52000 -7.0183 1.5188 -5.4995 -0.0488366 1.01762
53000 -7.02893 1.47138 -5.55755 -0.0553903 0.985851
54000 -7.13633 1.49036 -5.64597 -0.0515112 0.998568
55000 -7.12609 1.49166 -5.63443 -0.0540586 0.999435
56000 -7.10718 1.48273 -5.62444 -0.0590783 0.993456
57000 -7.1246 1.44085 -5.68374 -0.0629688 0.965397
58000 -7.18204 1.50186 -5.68018 -0.0551557 1.00627
59000 -7.12373 1.49642 -5.62731 -0.043735 1.00263
60000 -7.21744 1.44595 -5.77148 -0.0504742 0.968813
61000 -7.19138 1.51016 -5.68122 -0.0475899 1.01183
62000 -7.21906 1.47213 -5.74693 -0.0547133 0.986352
63000 -7.34206 1.45552 -5.88654 -0.0502028 0.97522
64000 -7.24118 1.50667 -5.73451 -0.0622576 1.00949
65000 -7.20625 1.51647 -5.68978 -0.0663198 1.01606
66000 -7.26105 1.51399 -5.74706 -0.050422 1.0144
67000 -7.25523 1.49885 -5.75638 -0.0396084 1.00426
68000 -7.30465 1.48923 -5.81543 -0.0505484 0.997806
69000 -7.29667 1.4943 -5.80236 -0.0607303 1.00121
70000 -7.29829 1.48891 -5.80938 -0.045605 0.997596
71000 -7.34709 1.47279 -5.8743 -0.0532736 0.986794
72000 -7.24229 1.49248 -5.74982 -0.0424453 0.999984
73000 -7.27694 1.50642 -5.77052 -0.0315257 1.00933
74000 -7.23522 1.50643 -5.72878 -0.032277 1.00934
75000 -7.23831 1.48044 -5.75787 -0.057329 0.991918
76000 -7.24503 1.5128 -5.73222 -0.0560263 1.0136
77000 -7.23378 1.50209 -5.73169 -0.0438398 1.00643
78000 -7.30022 1.47749 -5.82273 -0.0421969 0.989943
79000 -7.28654 1.51841 -5.76813 -0.0428413 1.01736
80000 -7.23769 1.50641 -5.73128 -0.052264 1.00932
81000 -7.27555 1.51154 -5.76401 -0.0422169 1.01276
82000 -7.29954 1.51405 -5.7855 -0.0385633 1.01444
83000 -7.3387 1.48832 -5.85038 -0.0313397 0.997198
84000 -7.33903 1.46236 -5.87667 -0.0355554 0.979804
85000 -7.38401 1.47157 -5.91244 -0.0366987 0.985975
86000 -7.3141 1.48181 -5.83229 -0.0301493 0.992837
87000 -7.28847 1.50949 -5.77899 -0.032594 1.01138
88000 -7.32245 1.48076 -5.84169 -0.0347147 0.992132
89000 -7.3305 1.50632 -5.82419 -0.0212749 1.00926
90000 -7.29276 1.49648 -5.79628 -0.0258796 1.00267
91000 -7.27724 1.5076 -5.76964 -0.0380267 1.01012
92000 -7.22263 1.51486 -5.70777 -0.0366557 1.01498
93000 -7.20008 1.46386 -5.73623 -0.0278788 0.980808
94000 -7.25164 1.46471 -5.78693 -0.0368507 0.98138
95000 -7.20722 1.4995 -5.70772 -0.044003 1.00469
96000 -7.22605 1.5087 -5.71735 -0.0390274 1.01086
97000 -7.1651 1.47008 -5.69502 -0.0479349 0.984979
98000 -7.26557 1.4928 -5.77278 -0.0364126 1.0002
99000 -7.26795 1.49989 -5.76806 -0.0332024 1.00495
100000 -7.21728 1.51242 -5.70486 -0.0348267 1.01335
