# Time-averaged data for fix msd_out
# TimeStep c_msd[4]
0 0
100 0.462019
200 0.804508
300 1.1548
400 1.27599
500 1.52447
600 1.70841
700 1.80313
800 1.99927
900 2.56314
1000 3.45085
1100 4.70666
1200 6.42259
1300 8.38357
1400 10.4994
1500 12.9963
1600 16.413
1700 19.6804
1800 22.6705
1900 25.8092
2000 29.2568
2100 32.7679
2200 35.8231
2300 38.7908
2400 42.1087
2500 45.1596
2600 49.2336
2700 52.8805
2800 56.0152
2900 59.4394
3000 63.5193
3100 67.5088
3200 70.6759
3300 73.6679
3400 76.5061
3500 79.3967
3600 81.8438
3700 83.451
3800 84.3458
3900 84.9319
4000 84.8698
4100 84.332
4200 83.2778
4300 82.2264
4400 80.6803
4500 78.8326
4600 76.4382
4700 73.4912
4800 71.0691
4900 68.4551
5000 65.9475
5100 63.2143
5200 59.8873
5300 56.2697
5400 53.7479
5500 50.7612
5600 47.7967
5700 44.9069
5800 43.1396
5900 41.8744
6000 41.1818
6100 40.9061
6200 40.1741
6300 39.5985
6400 39.3982
6500 39.883
6600 40.3432
6700 40.8764
6800 41.2517
6900 41.3779
7000 40.732
7100 40.2172
7200 40.5137
7300 40.6181
7400 40.8575
7500 40.8516
7600 40.2378
7700 39.8255
7800 39.4678
7900 39.3027
8000 38.2611
8100 37.7054
8200 37.6343
8300 37.4809
8400 36.1653
8500 34.1647
8600 32.5852
8700 31.1614
8800 29.814
8900 28.6001
9000 27.7233
9100 27.1791
9200 26.8946
9300 26.753
9400 26.8697
9500 27.0946
9600 27.7975
9700 28.0833
9800 28.1291
9900 28.2961
10000 28.612
10100 27.7006
10200 27.154
10300 26.1735
10400 25.343
10500 24.712
10600 23.9792
10700 23.3118
10800 23.4493
10900 23.8834
11000 23.4145
11100 22.9321
11200 22.5166
11300 22.4856
11400 22.7067
11500 22.5697
11600 22.3174
11700 22.1087
11800 22.1666
11900 22.3419
12000 21.6544
12100 21.3738
12200 20.7802
12300 20.384
12400 19.9536
12500 19.7243
12600 19.7534
12700 19.48
12800 19.414
12900 19.1447
13000 19.1356
13100 19.1164
13200 19.3663
13300 19.7336
13400 20.1101
13500 20.6976
13600 21.1985
13700 22.1668
13800 22.9416
13900 23.7886
14000 24.1461
14100 24.0819
14200 24.4761
14300 25.2176
14400 26.1335
14500 26.1189
14600 26.1064
14700 26.3628
14800 26.7632
14900 27.604
15000 28.5494
15100 29.138
15200 29.5537
15300 29.011
15400 27.9331
15500 27.3749
15600 25.7795
15700 24.2627
15800 22.5497
15900 20.8229
16000 19.5983
16100 18.6788
16200 18.1714
16300 17.9349
16400 18.0035
16500 18.3515
16600 18.6114
16700 18.6009
16800 18.7692
16900 18.873
17000 19.0958
17100 19.257
17200 19.7653
17300 19.9051
17400 20.3634
17500 20.9172
17600 21.1008
17700 21.1165
17800 21.1588
17900 20.6087
18000 20.4802
18100 20.2519
18200 19.9206
18300 19.826
18400 19.7749
18500 19.9171
18600 19.8759
18700 19.9965
18800 20.4113
18900 21.2339
19000 22.3936
19100 23.5115
19200 24.653
19300 26.109
19400 27.6054
19500 28.9962
19600 30.564
19700 31.9751
19800 33.4721
19900 35.3853
20000 37.9157
20100 39.92
20200 41.422
20300 42.6341
20400 43.6069
20500 44.3203
20600 44.2823
20700 45.2686
20800 45.664
20900 45.8109
21000 45.721
21100 46.4277
21200 47.1575
21300 48.2803
21400 49.3187
21500 50.4486
21600 52.001
21700 54.3407
21800 56.0929
21900 57.8305
22000 60.2752
22100 62.532
22200 64.3456
22300 66.0628
22400 67.4271
22500 68.1172
22600 68.636
22700 68.7015
22800 68.3434
22900 67.546
23000 66.8071
23100 65.7913
23200 64.8473
23300 63.5901
23400 61.8144
23500 59.8093
23600 57.8279
23700 55.7057
23800 52.9904
23900 50.0688
24000 47.2225
24100 44.6803
24200 41.6575
24300 39.6382
24400 39.6449
24500 40.3781
24600 40.9171
24700 41.7724
24800 42.3717
24900 42.8136
25000 42.6635
25100 41.9625
25200 40.5255
25300 38.7038
25400 37.9856
25500 37.7744
25600 38.8917
25700 39.8597
25800 40.6625
25900 41.494
26000 42.5897
26100 44.1659
26200 45.6034
26300 47.0166
26400 48.2814
26500 49.0432
26600 49.4695
26700 49.0617
26800 48.6096
26900 47.9332
27000 48.3955
27100 48.6851
27200 48.6203
27300 47.9039
27400 46.7394
27500 45.2917
27600 44.2098
27700 42.9049
27800 40.7936
27900 39.779
28000 39.1489
28100 38.6419
28200 37.8439
28300 36.3905
28400 34.6161
28500 32.6977
28600 31.0523
28700 30.0191
28800 29.0029
28900 28.1189
29000 27.6083
29100 27.044
29200 26.7497
29300 26.9181
29400 27.4673
29500 28.5095
29600 28.4801
29700 28.4383
29800 28.5994
29900 28.7622
30000 28.9361
30100 28.8234
30200 29.1527
30300 29.1379
30400 29.2071
30500 29.6781
30600 29.5349
30700 28.8115
30800 27.4355
30900 26.3621
31000 25.2159
31100 24.1169
31200 23.3251
31300 22.2063
31400 20.8998
31500 20.0507
31600 19.2586
31700 18.7924
31800 18.3089
31900 17.8897
32000 17.6779
32100 16.9934
32200 16.4329
32300 15.7879
32400 14.7952
32500 14.145
32600 13.788
32700 13.6891
32800 13.7989
32900 13.7488
33000 13.9193
33100 13.997
33200 13.9095
33300 14.0354
33400 14.344
33500 15.1661
33600 16.0897
33700 17.2059
33800 18.552
33900 20.3052
34000 22.3072
34100 23.2645
34200 24.11
34300 25.1291
34400 26.4815
34500 27.517
34600 28.3816
34700 29.1961
34800 30.045
34900 30.4914
35000 31.5179
35100 32.8006
35200 34.6549
35300 37.1042
35400 38.815
35500 39.7271
35600 40.3823
35700 40.9113
35800 41.0241
35900 40.8308
36000 40.2268
36100 41.113
36200 41.1052
36300 40.8414
36400 40.2134
36500 40.0485
36600 40.9025
36700 41.6726
36800 42.1687
36900 42.5316
37000 42.882
37100 43.8444
37200 43.8404
37300 43.0803
37400 42.7269
37500 41.5512
37600 41.2891
37700 41.86
37800 44.0371
37900 46.2381
38000 48.9455
38100 50.9597
38200 51.5305
38300 51.0583
38400 51.2746
38500 51.117
38600 49.9366
38700 48.5737
38800 47.3522
38900 47.3526
39000 47.5339
39100 47.4981
39200 47.4032
39300 47.5558
39400 47.7379
39500 47.4642
39600 47.1797
39700 46.2856
39800 45.4329
39900 43.4585
40000 42.3488
40100 41.887
40200 42.6869
40300 43.8329
40400 44.0555
40500 44.1756
40600 44.3217
40700 44.7139
40800 44.923
40900 45.508
41000 46.7125
41100 47.7474
41200 48.8555
41300 50.0504
41400 51.7818
41500 53.5933
41600 55.2161
41700 56.2153
41800 57.1274
41900 58.0035
42000 58.7686
42100 58.5268
42200 58.591
42300 58.3422
42400 57.6501
42500 56.6079
42600 55.8286
42700 54.6533
42800 53.1426
42900 50.6829
43000 47.771
43100 45.2323
43200 42.575
43300 39.845
43400 37.657
43500 36.8333
43600 37.5313
43700 38.4145
43800 39.1577
43900 39.9212
44000 40.1641
44100 39.8501
44200 39.2308
44300 38.3913
44400 37.1114
44500 36.1888
44600 35.2899
44700 35.2129
44800 36.6136
44900 37.7358
45000 38.3309
45100 38.7416
45200 38.7822
45300 37.8472
45400 37.146
45500 35.8806
45600 33.8174
45700 31.8241
45800 30.4688
45900 29.1188
46000 27.9553
46100 25.9471
46200 24.6588
46300 23.5889
46400 23.0912
46500 21.8866
46600 20.7107
46700 19.7946
46800 19.3621
46900 18.8981
47000 18.3482
47100 18.1701
47200 18.1765
47300 18.3911
47400 18.9152
47500 19.672
47600 20.2467
47700 21.2188
47800 22.3758
47900 23.7222
48000 25.2186
48100 26.8944
48200 28.3073
48300 29.9039
48400 31.5053
48500 32.7829
48600 33.4002
48700 32.9665
48800 32.4584
48900 31.6685
49000 29.7938
49100 28.1448
49200 27.7236
49300 27.2482
49400 26.8374
49500 26.2604
49600 26.3494
49700 26.4305
49800 26.5708
49900 27.2756
50000 27.4517
50100 27.5053
50200 26.9431
50300 26.7172
50400 25.9894
50500 25.9083
50600 25.9624
50700 25.8051
50800 25.4439
50900 24.5873
51000 23.7256
51100 22.9946
51200 22.6258
51300 22.646
51400 23.3096
51500 24.1261
51600 25.2739
51700 26.3634
51800 27.8975
51900 29.6992
52000 31.3333
52100 32.8603
52200 34.2191
52300 34.9688
52400 35.3635
52500 35.4389
52600 35.9876
52700 36.654
52800 37.6823
52900 39.4615
53000 41.5286
53100 43.4101
53200 44.846
53300 46.257
53400 47.3758
53500 48.8384
53600 50.5337
53700 52.3431
53800 53.5282
53900 54.4822
54000 55.1215
54100 56.2805
54200 57.1801
54300 57.3467
54400 57.1868
54500 57.1197
54600 56.748
54700 55.8892
54800 54.5595
54900 52.999
55000 51.3894
55100 49.5988
55200 48.2616
55300 46.9708
55400 45.3405
55500 44.3981
55600 43.4392
55700 41.866
55800 41.2856
55900 41.3458
56000 41.7215
56100 41.5237
56200 40.3323
56300 39.7695
56400 39.1256
56500 40.9791
56600 42.9038
56700 45.2613
56800 46.8921
56900 48.1999
57000 49.3131
57100 50.4431
57200 51.4244
57300 51.807
57400 51.995
57500 52.1045
57600 51.8488
57700 50.9063
57800 50.3303
57900 49.5051
58000 48.7096
58100 47.4001
58200 45.9792
58300 45.2148
58400 44.0502
58500 43.4077
58600 43.8449
58700 44.5444
58800 45.5494
58900 47.2017
59000 48.4609
59100 49.2548
59200 50.363
59300 51.4447
59400 52.1103
59500 52.3802
59600 53.254
59700 53.639
59800 53.8629
59900 54.5608
60000 54.7988
60100 54.3213
60200 53.4603
60300 53.3831
60400 52.5583
60500 51.3325
60600 49.9743
60700 49.15
60800 47.9037
60900 46.189
61000 44.7096
61100 42.7087
61200 41.1235
61300 39.438
61400 38.7322
61500 38.1669
61600 37.8313
61700 37.9216
61800 38.3633
61900 39.0722
62000 39.7129
62100 39.3227
62200 38.7211
62300 37.6768
62400 36.9731
62500 36.9219
62600 37.1222
62700 37.58
62800 38.0658
62900 38.3914
63000 38.8645
63100 39.1771
63200 39.6428
63300 39.8979
63400 39.8771
63500 40.0772
63600 39.8689
63700 39.5239
63800 39.2047
63900 39.0335
64000 38.3626
64100 38.0887
64200 37.9769
64300 37.3266
64400 37.0682
64500 36.5424
64600 35.7698
64700 34.7598
64800 34.2052
64900 32.9773
65000 31.4258
65100 30.3535
65200 29.4449
65300 28.5542
65400 28.5748
65500 28.9327
65600 29.1513
65700 29.3996
65800 29.6717
65900 30.0177
66000 30.5153
66100 30.4873
66200 29.6437
66300 29.2969
66400 29.1218
66500 29.232
66600 29.9477
66700 30.7538
66800 31.8963
66900 33.0903
67000 34.1423
67100 35.3777
67200 36.272
67300 36.013
67400 35.9147
67500 35.5991
67600 33.9533
67700 32.8424
67800 31.8546
67900 31.145
68000 30.8105
68100 30.8499
68200 30.6455
68300 30.2849
68400 30.5092
68500 30.6819
68600 30.6571
68700 30.6881
68800 29.9751
68900 29.0695
69000 27.6401
69100 26.7714
69200 25.5161
69300 24.3825
69400 23.5465
69500 22.6763
69600 21.9803
69700 21.2738
69800 20.7477
69900 20.5095
70000 20.2021
70100 19.4356
70200 18.5046
70300 17.3589
70400 15.9998
70500 14.7712
70600 13.8433
70700 13.2514
70800 12.8707
70900 12.875
71000 13.2534
71100 13.4693
71200 13.971
71300 14.5342
71400 15.2698
71500 16.0519
71600 16.9069
71700 17.9502
71800 19.6325
71900 21.3911
72000 23.0924
72100 24.8926
72200 27.0647
72300 30.0994
72400 33.4329
72500 37.0721
72600 40.4544
72700 43.676
72800 46.1393
72900 48.6393
73000 50.1993
73100 51.1271
73200 51.9605
73300 52.6485
73400 53.5031
73500 53.6243
73600 53.7447
73700 53.7299
73800 53.7406
73900 53.3009
74000 52.9456
74100 52.1741
74200 50.7052
74300 50.3523
74400 50.3929
74500 50.8085
74600 51.3532
74700 52.3747
74800 53.2221
74900 54.1701
75000 55.3419
75100 56.493
75200 57.5622
75300 58.0898
75400 58.6102
75500 59.8128
75600 61.4388
75700 62.9296
75800 64.2629
75900 65.3065
76000 66.2704
76100 67.3279
76200 69.0155
76300 69.7609
76400 70.1349
76500 69.9548
76600 69.427
76700 68.3457
76800 66.5438
76900 64.0104
77000 60.9511
77100 57.8948
77200 55.1936
77300 51.9155
77400 47.9579
77500 45.239
77600 43.5275
77700 42.2191
77800 41.3128
77900 40.2707
78000 39.246
78100 39.771
78200 39.5601
78300 39.0942
78400 38.3788
78500 37.4164
78600 36.5647
78700 35.7781
78800 34.4875
78900 33.4686
79000 33.2004
79100 32.5818
79200 32.3377
79300 32.0493
79400 32.1228
79500 31.6345
79600 30.9173
79700 30.5414
79800 31.193
79900 31.7248
80000 31.9958
80100 31.8025
80200 31.5694
80300 31.4948
80400 31.6383
80500 32.2571
80600 32.9697
80700 33.407
80800 34.1864
80900 35.6398
81000 35.4813
81100 34.4179
81200 32.7191
81300 31.1721
81400 30.5527
81500 29.5624
81600 28.5004
81700 27.5906
81800 26.3151
81900 24.7727
82000 23.4155
82100 21.9978
82200 20.8739
82300 20.2684
82400 19.5628
82500 19.1713
82600 19.002
82700 19.2732
82800 19.4511
82900 19.9268
83000 20.0393
83100 20.0006
83200 19.9175
83300 20.0096
83400 20.4465
83500 21.1438
83600 22.3236
83700 23.4491
83800 24.456
83900 25.5355
84000 27.1692
84100 28.6793
84200 29.5496
84300 30.1512
84400 30.4038
84500 30.5458
84600 30.7579
84700 31.323
84800 31.9039
84900 32.8012
85000 33.3457
85100 34.04
85200 35.1038
85300 36.5298
85400 35.6093
85500 34.7141
85600 34.1746
85700 34.0254
85800 34.2551
85900 33.8629
86000 34.4645
86100 35.7304
86200 36.7015
86300 37.8165
86400 38.8358
86500 40.0323
86600 41.9142
86700 43.8798
86800 44.8047
86900 45.3488
87000 45.5084
87100 46.0808
87200 46.211
87300 45.9747
87400 45.1912
87500 44.3663
87600 43.1733
87700 42.1353
87800 41.5387
87900 41.2401
88000 40.5149
88100 40.5516
88200 40.4961
88300 40.3805
88400 40.0351
88500 38.9484
88600 38.0366
88700 37.0866
88800 36.3701
88900 36.1052
89000 35.2921
89100 33.7391
89200 32.3116
89300 31.2945
89400 31.1455
89500 31.0594
89600 30.2515
89700 29.0033
89800 28.0452
89900 27.4485
90000 26.9643
90100 26.3774
90200 25.3386
90300 24.5556
90400 23.8977
90500 23.4999
90600 23.1619
90700 22.7246
90800 22.0929
90900 21.9029
91000 21.7182
91100 21.5243
91200 21.6491
91300 21.696
91400 22.0181
91500 21.744
91600 21.7244
91700 21.6381
91800 21.3825
91900 21.0481
92000 21.7252
92100 22.184
92200 22.5584
92300 22.9657
92400 23.5848
92500 24.3237
92600 25.358
92700 26.6927
92800 28.2084
92900 29.9493
93000 32.129
93100 33.6505
93200 35.1955
93300 36.6198
93400 36.865
93500 36.2268
93600 35.5074
93700 34.3435
93800 33.3657
93900 32.3657
94000 31.4984
94100 30.5714
94200 29.5851
94300 28.7664
94400 27.8636
94500 27.3985
94600 26.9061
94700 25.9939
94800 25.7608
94900 26.0571
95000 26.3285
95100 26.6767
95200 26.8304
95300 27.108
95400 27.4641
95500 26.9022
95600 27.5042
95700 25.9953
95800 24.2458
95900 22.9568
96000 21.7805
96100 20.5202
96200 19.5769
96300 18.9304
96400 18.7466
96500 18.6321
96600 18.7954
96700 18.8999
96800 19.0094
96900 19.3678
97000 20.0497
97100 20.9267
97200 21.692
97300 22.1672
97400 22.6141
97500 23.134
97600 23.901
97700 25.316
97800 26.6312
97900 27.8929
98000 27.8879
98100 28.118
98200 28.9018
98300 30.3538
98400 31.4024
98500 32.3328
98600 33.7376
98700 34.9157
98800 34.4127
98900 34.893
99000 34.7125
99100 34.5412
99200 35.4182
99300 37.1015
99400 40.1695
99500 42.3805
99600 44.3987
99700 46.0248
99800 47.3486
99900 48.8669
100000 49.8141
