# Time-averaged data for fix rg_out
# TimeStep c_rg
0 28.0001
100 28.0619
200 28.1111
300 28.1435
400 28.1692
500 28.1842
600 28.2045
700 28.2211
800 28.2378
900 28.2494
1000 28.2558
1100 28.2623
1200 28.2638
1300 28.2659
1400 28.2614
1500 28.2554
1600 28.2453
1700 28.2315
1800 28.2127
1900 28.1919
2000 28.1676
2100 28.1416
2200 28.1117
2300 28.0727
2400 28.0317
2500 27.9886
2600 27.9431
2700 27.8925
2800 27.8349
2900 27.777
3000 27.7191
3100 27.66
3200 27.5941
3300 27.5192
3400 27.4455
3500 27.3727
3600 27.2995
3700 27.2235
3800 27.1409
3900 27.0536
4000 26.9723
4100 26.8899
4200 26.8025
4300 26.71
4400 26.6148
4500 26.5275
4600 26.4385
4700 26.3401
4800 26.2345
4900 26.1315
5000 26.0302
5100 25.9255
5200 25.8217
5300 25.7223
5400 25.6232
5500 25.5123
5600 25.3942
5700 25.2803
5800 25.1697
5900 25.0566
6000 24.9418
6100 24.8259
6200 24.7178
6300 24.6085
6400 24.4929
6500 24.3696
6600 24.2486
6700 24.137
6800 24.0262
6900 23.9061
7000 23.7778
7100 23.6523
7200 23.5349
7300 23.4123
7400 23.2869
7500 23.166
7600 23.0504
7700 22.9297
7800 22.7961
7900 22.6595
8000 22.5301
8100 22.4072
8200 22.2868
8300 22.1705
8400 22.0573
8500 21.9505
8600 21.8459
8700 21.7337
8800 21.6175
8900 21.5093
9000 21.3999
9100 21.2923
9200 21.1943
9300 21.096
9400 20.9891
9500 20.8834
9600 20.7838
9700 20.6854
9800 20.5845
9900 20.4827
10000 20.3835
10100 20.2891
10200 20.1929
10300 20.0941
10400 19.9952
10500 19.8905
10600 19.7842
10700 19.6874
10800 19.5925
10900 19.498
11000 19.405
11100 19.3094
11200 19.2113
11300 19.1199
11400 19.0353
11500 18.9546
11600 18.8761
11700 18.7965
11800 18.7199
11900 18.6516
12000 18.5843
12100 18.5199
12200 18.4566
12300 18.3975
12400 18.3423
12500 18.2848
12600 18.2263
12700 18.1667
12800 18.1071
12900 18.0503
13000 17.9942
13100 17.9381
13200 17.885
13300 17.8294
13400 17.7664
13500 17.7002
13600 17.6329
13700 17.5597
13800 17.4838
13900 17.4108
14000 17.3389
14100 17.2626
14200 17.1795
14300 17.0934
14400 16.9964
14500 16.8952
14600 16.7971
14700 16.7031
14800 16.6119
14900 16.5214
15000 16.4256
15100 16.3262
15200 16.2326
15300 16.1396
15400 16.0447
15500 15.9443
15600 15.8393
15700 15.7386
15800 15.6427
15900 15.5434
16000 15.4434
16100 15.3529
16200 15.2624
16300 15.1692
16400 15.0705
16500 14.9652
16600 14.8621
16700 14.7664
16800 14.6712
16900 14.5692
17000 14.4649
17100 14.3544
17200 14.2441
17300 14.14
17400 14.0366
17500 13.9273
17600 13.8032
17700 13.6808
17800 13.5693
17900 13.4591
18000 13.3404
18100 13.2133
18200 13.0882
18300 12.9729
18400 12.8536
18500 12.7189
18600 12.5814
18700 12.4532
18800 12.3357
18900 12.222
19000 12.1077
19100 11.9903
19200 11.8641
19300 11.7371
19400 11.6151
19500 11.4981
19600 11.3815
19700 11.2606
19800 11.1337
19900 11.01
20000 10.8982
20100 10.7816
20200 10.6629
20300 10.5358
20400 10.3929
20500 10.2545
20600 10.1247
20700 9.99576
20800 9.87211
20900 9.74878
21000 9.61935
21100 9.48303
21200 9.34761
21300 9.21868
21400 9.09329
21500 8.97446
21600 8.86116
21700 8.72877
21800 8.594
21900 8.46891
22000 8.35022
22100 8.22793
22200 8.10543
22300 7.99417
22400 7.887
22500 7.77821
22600 7.66277
22700 7.54265
22800 7.42415
22900 7.30446
23000 7.17641
23100 7.05313
23200 6.93738
23300 6.81637
23400 6.67989
23500 6.54201
23600 6.40438
23700 6.27589
23800 6.15253
23900 6.03474
24000 5.92199
24100 5.80324
24200 5.67663
24300 5.54466
24400 5.41552
24500 5.28095
24600 5.1549
24700 5.04236
24800 4.92387
24900 4.79275
25000 4.65672
25100 4.52724
25200 4.40782
25300 4.28326
25400 4.16011
25500 4.03621
25600 3.91832
25700 3.79865
25800 3.67025
25900 3.53934
26000 3.4057
26100 3.27705
26200 3.15053
26300 3.00471
26400 2.86318
26500 2.7768
26600 2.72372
26700 2.70105
26800 2.67276
26900 2.65346
27000 2.64955
27100 2.65463
27200 2.66299
27300 2.64719
27400 2.61202
27500 2.56914
27600 2.54098
27700 2.54546
27800 2.51737
27900 2.50428
28000 2.46069
28100 2.41689
28200 2.39069
28300 2.36875
28400 2.38015
28500 2.3775
28600 2.37518
28700 2.34979
28800 2.32677
28900 2.30409
29000 2.30657
29100 2.31196
29200 2.31903
29300 2.31717
29400 2.30258
29500 2.28684
29600 2.29262
29700 2.29296
29800 2.2949
29900 2.30394
30000 2.29223
30100 2.27133
30200 2.28988
30300 2.30277
30400 2.31867
30500 2.34294
30600 2.33699
30700 2.31651
30800 2.30536
30900 2.30461
31000 2.31703
31100 2.31717
31200 2.32307
31300 2.33339
31400 2.33605
31500 2.33339
31600 2.3436
31700 2.35939
31800 2.35478
31900 2.32829
32000 2.31924
32100 2.3057
32200 2.29386
32300 2.29415
32400 2.3025
32500 2.29319
32600 2.27935
32700 2.28051
32800 2.27031
32900 2.24631
33000 2.25075
33100 2.23925
33200 2.22196
33300 2.20041
33400 2.20221
33500 2.21196
33600 2.22041
33700 2.2382
33800 2.22646
33900 2.21531
34000 2.19549
34100 2.22361
34200 2.23846
34300 2.22496
34400 2.2176
34500 2.18762
34600 2.19987
34700 2.20935
34800 2.20322
34900 2.19612
35000 2.21435
35100 2.21265
35200 2.23998
35300 2.22797
35400 2.21875
35500 2.22218
35600 2.23762
35700 2.25765
35800 2.25519
35900 2.22792
36000 2.22528
36100 2.26699
36200 2.27298
36300 2.24736
36400 2.23674
36500 2.24062
36600 2.26153
36700 2.23863
36800 2.22407
36900 2.24319
37000 2.23714
37100 2.25014
37200 2.23483
37300 2.2352
37400 2.23611
37500 2.24145
37600 2.26487
37700 2.25549
37800 2.27464
37900 2.27772
38000 2.27074
38100 2.26939
38200 2.25094
38300 2.25483
38400 2.22566
